"214.0","234.0","261.5","291.5","320.0","345.5","365.0","378.0","387.0","391.5","393.0"
"219.0","215.5","206.5","198.5","195.5","194.0","193.0","192.0","191.0","190.0","188.5"
"287.5","287.5","287.5","289.5","291.0","292.0","292.0","293.5","296.0","299.5","301.0","302.0","302.5","302.5","302.0","297.5","296.0"
"141.0","144.5","160.5","187.5","215.0","246.0","289.0","326.5","363.0","391.0","403.5","418.0","424.5","428.5","430.5","430.5","429.5"
"221.5","227.0","236.5","246.0","255.5","257.0"
"277.0","274.0","274.0","274.0","274.5","276.0"
"200.0","206.0","218.0","237.0","260.0","261.5"
"354.0","351.0","347.5","330.5","315.5","313.5"
"353.5","344.0","333.5","321.5","312.5","311.0"
"221.5","238.5","251.0","270.0","291.5","293.0"
"334.0","343.5","357.0","375.5","397.0","418.5","433.0","434.5"
"305.0","313.5","321.0","331.5","345.5","355.5","361.5","363.0"
"355.0","360.5","366.5","373.5","375.0"
"112.0","122.0","135.5","150.5","152.0"
