"102.5","121.5","147.5","185.5","229.0","273.5","318.0","361.0","397.0","424.0","442.5","451.0","453.5","449.5","448.0"
"214.0","206.5","197.5","186.0","171.0","154.0","142.5","130.0","119.5","116.5","115.0","114.0","113.5","111.0","109.5"
"278.5","277.5","277.5","277.5","277.5","277.5","277.5","280.5","284.5","287.5","290.0","290.5","290.5","290.5","290.0","289.0","287.5","285.5","282.5","281.0"
"66.5","87.5","109.5","137.5","166.5","204.5","241.0","276.0","316.0","348.0","384.0","416.5","436.0","451.0","464.0","471.5","474.0","474.0","459.5","457.5"
"197.5","200.0","205.0","209.5","211.5"
"273.5","280.5","292.5","301.0","302.5"
"192.0","197.0","206.0","221.5","238.5","240.5"
"402.5","402.0","399.0","382.5","368.0","366.5"
"348.5","347.0","345.5","342.5","338.0","332.0","329.0","327.5"
"240.5","245.5","255.5","265.0","277.0","292.0","299.0","301.0"
"328.0","332.0","338.5","345.5","354.5","367.5","377.5","389.5","398.0","399.5"
"329.5","334.0","342.0","347.0","351.5","362.5","369.0","373.0","374.5","376.5"
"375.0","382.0","394.5","407.5","423.5","425.0"
"68.0","70.5","75.5","82.0","87.0","88.5"
