"166.0","187.0","209.5","237.5","267.0","294.5","320.5","343.0","359.0","369.5","376.0","378.5","377.5","376.0"
"211.5","200.5","195.0","189.5","177.0","168.5","163.0","151.5","146.0","143.5","142.0","140.0","134.5","133.0"
"269.5","268.5","268.5","268.5","270.5","273.0","276.0","278.5","280.0","282.0","284.5","288.0","290.5","291.5","292.0","292.5","292.5","292.0","290.0"
"111.5","126.0","149.0","185.0","221.0","262.5","303.5","344.0","391.0","427.5","463.5","496.0","514.0","526.5","530.5","530.5","512.5","479.5","478.0"
"212.0","216.5","224.5","231.5","236.5","238.0"
"270.5","270.5","270.5","271.5","274.5","276.0"
"186.0","195.0","209.0","224.0","240.0","255.5","257.0"
"402.0","399.0","382.5","364.0","340.0","309.0","307.5"
"336.5","338.5","338.5","337.0","329.0","321.5","319.5"
"219.5","225.0","237.5","248.0","270.0","294.0","296.0"
"315.5","325.0","336.0","348.0","363.5","377.0","390.0","400.0","401.5"
"323.5","330.0","338.0","346.0","352.5","363.0","371.0","374.5","376.0"
"392.5","403.5","405.0"
"88.0","95.0","96.5"
