"170.5","180.5","194.0","219.5","248.5","280.0","309.0","331.0","345.5","358.0","364.0","364.0","365.0"
"230.5","223.5","219.5","205.5","193.5","177.5","166.5","151.0","143.5","135.0","124.0","114.5","112.5"
"289.5","286.5","285.5","285.0","285.0","284.5","283.0","283.0","283.0","285.5","288.0","290.0","290.0","290.0","290.0","290.0","291.0","291.5","293.0"
"65.5","85.0","107.5","136.5","168.0","209.0","247.0","288.0","322.5","364.5","399.0","427.5","449.5","472.5","483.0","486.0","480.5","459.5","457.5"
"220.0","223.5","226.5","232.5","234.0"
"245.5","257.0","270.0","291.5","293.0"
"195.5","201.5","213.5","235.5","257.5","259.0"
"397.5","384.0","374.5","355.0","330.5","329.0"
"356.5","351.5","351.0","349.5","348.0"
"238.5","242.5","248.5","264.5","266.0"
"323.0","325.0","329.0","339.0","349.0","363.0","374.0","375.5"
"330.5","343.5","350.0","364.0","372.5","383.5","389.0","390.5"
"329.5","335.5","348.0","367.5","369.0"
"97.0","104.0","113.0","127.5","129.0"
