"136.5","144.0","147.5","147.5","149.0"
"153.0","177.5","191.5","205.5","207.0"
"83.5","107.5","132.0","152.5","169.0","179.5","185.0","186.5","185.0","170.5","155.0","136.5","117.0","103.5","93.5","88.0","82.0"
"247.0","236.5","231.5","230.0","230.0","230.0","231.0","234.5","245.5","261.5","277.5","294.0","308.5","318.5","326.0","329.0","331.0"
"132.5","131.5","131.5","131.0","131.0","131.0","131.0","132.0","134.5","139.0","145.0"
"285.5","289.0","298.5","312.0","331.0","354.5","378.0","401.0","420.5","435.0","442.5"
"229.0","221.5","216.5","209.5","197.5","175.5","174.0"
"263.0","268.5","273.5","279.5","289.5","304.0","306.0"
"136.0","138.5","146.0","156.0","170.5","185.5","202.5","217.0","229.0","231.0"
"273.0","275.5","284.0","295.5","311.5","327.5","341.0","354.0","365.0","367.0"
"311.0","315.5","325.0","341.0","364.0","391.0","412.5","428.5","438.5","443.0","441.0","429.5","413.0","393.0","391.5"
"262.5","260.0","259.5","258.0","258.0","261.0","270.0","282.0","298.0","316.0","345.5","376.0","407.0","433.5","435.0"
"365.0","362.5","357.0","347.0","335.0","321.0","305.5","289.0","287.5"
"250.5","253.5","267.5","293.0","322.5","355.0","393.5","430.5","432.5"
