"104.5","119.0","143.5","179.5","218.0","261.0","304.0","341.0","369.5","387.5","397.5","401.0","397.5","396.0"
"221.0","221.0","220.5","210.0","197.0","184.5","170.5","157.0","145.5","141.0","136.0","129.0","121.5","120.0"
"260.5","254.5","250.5","246.5","245.0","245.0","245.0","245.0","245.0","245.5","246.0","246.0","246.0","248.0","250.5","252.0"
"90.5","105.5","125.0","159.0","195.0","236.5","272.0","312.5","347.0","383.5","421.0","449.0","465.0","474.5","477.0","479.0"
"156.0","153.5","156.0","163.0","170.5","180.5","182.5"
"294.5","304.0","317.5","336.0","350.0","368.0","369.5"
"141.0","151.5","170.5","199.5","201.0"
"426.5","418.5","403.0","379.5","378.0"
"327.0","324.5","321.5","314.0","305.0","303.5"
"263.0","263.5","271.0","292.5","314.5","316.0"
"276.5","284.0","294.5","308.0","324.0","341.0","355.5","357.5"
"366.5","371.5","375.0","381.0","388.5","392.0","392.0","390.5"
"350.5","360.5","375.0","393.5","414.0","416.0"
"89.5","91.0","97.5","111.5","121.0","122.5"
