"183.0","199.5","223.0","255.0","290.0","323.0","353.0","375.0","394.5","403.0","406.5","404.0","402.0"
"206.5","200.5","196.0","192.0","182.5","172.5","168.5","166.5","165.0","162.5","159.5","154.0","152.5"
"280.5","281.5","281.5","280.5","277.0","274.5","272.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","270.5","269.0","266.5","265.0"
"77.0","81.0","87.5","106.0","136.0","165.5","202.5","240.5","282.0","320.5","361.5","397.5","432.5","453.0","473.5","479.5","481.0","474.0","472.5"
"212.0","217.5","219.5","222.5","224.0"
"270.5","284.0","294.0","314.5","316.0"
"196.5","200.5","211.5","227.5","247.0","248.5"
"400.5","398.0","384.0","370.0","348.0","346.5"
"374.0","369.0","357.0","344.5","332.0","330.5"
"247.5","257.5","269.0","285.5","296.0","297.5"
"318.5","326.0","339.0","353.0","371.5","385.5","398.0","410.5","418.0","419.5"
"349.0","353.5","366.5","374.5","389.5","397.5","402.0","403.0","403.0","402.0"
"367.5","377.5","393.0","394.5"
"87.5","90.5","107.5","109.5"
