"170.5","196.5","227.5","268.0","313.5","359.5","399.0","433.0","456.0","469.0","475.0","475.5","470.5","469.0"
"220.0","214.5","200.0","187.5","171.0","154.0","143.5","137.0","129.0","124.5","122.0","120.5","119.0","117.5"
"299.0","296.0","295.0","293.5","293.0","293.0","293.0","294.5","297.0","299.0","300.5","301.5","302.0","304.0","306.5","310.5","311.0","312.0"
"89.5","101.5","122.0","158.0","193.5","236.5","275.5","316.0","350.0","389.0","420.5","442.5","456.5","470.0","474.0","470.0","457.0","455.0"
"182.5","187.5","195.5","208.5","210.0"
"296.5","309.5","320.5","340.0","341.5"
"170.5","173.5","183.5","203.0","230.0","231.5"
"438.0","434.0","428.0","409.5","387.5","386.0"
"361.5","360.5","359.0","353.5","352.0"
"248.5","263.5","274.5","294.0","295.5"
"337.0","342.5","352.5","369.0","387.5","404.0","406.0"
"349.5","352.5","367.0","378.0","396.0","411.0","412.5"
"402.5","416.5","435.5","461.0","489.0","491.0"
"64.0","65.5","75.5","90.0","112.0","113.5"
