"143.5","160.5","179.0","206.0","238.0","275.0","314.0","351.0","384.5","409.0","424.5","435.5","437.0"
"242.5","240.5","239.0","230.0","221.5","213.0","198.5","188.0","176.0","169.5","168.0","166.5","165.0"
"305.0","303.0","303.0","303.5","307.0","309.0","311.5","313.5","314.5","315.5","316.0","316.5","317.0","318.0","319.0","320.5"
"116.5","137.5","161.0","191.0","234.0","278.5","323.5","369.5","406.0","435.0","453.0","472.0","478.0","479.0","473.5","471.5"
"215.5","216.5","219.5","226.0","227.5"
"296.5","311.5","323.5","345.0","346.5"
"208.5","214.0","222.5","238.5","258.0","274.5","276.0"
"419.5","408.0","401.0","384.0","366.0","347.5","345.5"
"372.5","372.0","369.5","362.5","360.5"
"247.0","255.5","266.5","280.5","282.0"
"327.5","329.5","331.5","338.5","347.0","360.0","372.5","386.5","396.0","405.0","413.5","415.0"
"337.0","341.5","346.5","351.5","365.0","374.5","387.5","396.5","401.0","402.5","402.5","403.5"
"387.0","397.5","412.0","426.0","427.5"
"115.5","124.5","138.5","159.0","160.5"
