"134.5","141.0","151.0","164.5","184.5","205.5","229.0","253.5","284.0","312.0","339.0","365.5","389.0","411.5","426.0","437.5","443.5","447.5","449.5","448.0","446.5"
"230.5","229.0","229.0","228.5","226.0","224.5","222.5","221.0","219.0","217.0","216.5","216.0","215.5","215.0","214.5","214.0","214.0","214.0","214.0","214.0","214.5"
"308.5","307.5","307.5","307.0","306.0","304.5","303.0","301.5","299.5","297.5","296.5","296.0","296.0","296.0","296.0","296.0","297.0","299.5","302.0","304.0","306.0","307.5","308.5","309.0","309.0","309.0","309.0","307.5","306.5","305.5","305.0","305.0","304.5"
"129.0","135.5","142.0","151.0","162.5","177.0","196.0","215.0","236.0","256.5","278.5","300.0","320.0","338.5","358.0","377.0","394.0","411.0","426.0","439.0","453.5","466.0","476.5","484.0","491.0","495.0","498.0","499.0","500.0","500.5","500.5","500.0","498.5"
"179.0","182.5","187.0","194.0","201.0","205.0"
"272.0","276.5","282.5","294.0","308.5","327.0"
"157.0","154.5","155.5","170.0","194.0","224.0","256.0"
"439.0","431.5","427.0","413.0","393.0","373.0","350.5"
"450.0","442.0","433.5","422.0","404.5","388.0","372.5","361.5"
"281.0","283.0","284.5","290.5","302.5","316.0","330.5","342.5"
"348.5","353.0","360.0","372.5","389.0","411.0","430.5","449.5","469.5","490.0","508.5","521.5"
"391.5","394.0","397.0","404.5","413.5","427.5","439.5","448.5","457.0","464.5","473.5","483.5"
"426.0","430.5","436.0","444.5","457.5","476.5","478.0"
"124.5","127.0","130.5","138.0","148.5","161.0","163.0"
