"161.5","180.5","202.5","235.0","270.5","302.5","328.0","344.5","355.0","360.5","360.5","361.0"
"203.0","197.5","194.5","185.0","172.5","168.0","165.0","162.5","159.5","155.5","149.5","148.0"
"243.5","243.0","243.0","243.5","247.5","251.5","256.0","259.0","261.0","262.5","262.5","262.5","262.5","260.5","257.5","253.0","251.0"
"64.5","78.0","97.5","130.5","164.5","209.0","247.5","289.5","323.5","355.5","386.5","418.5","445.0","453.5","457.0","457.0","458.5"
"154.5","167.0","182.5","195.5","208.0","210.5"
"271.5","269.0","265.0","265.0","266.5","276.5"
"142.5","154.0","175.0","200.5","229.0","258.0","260.0"
"358.0","352.5","337.0","319.0","299.0","276.0","274.5"
"315.0","306.0","298.5","294.0","291.0","286.5","285.0"
"205.5","218.0","233.5","246.0","265.5","282.5","284.5"
"303.5","314.0","327.0","344.0","365.5","387.5","401.5","409.5","411.5"
"294.0","296.5","298.0","309.0","321.0","331.0","341.0","345.0","346.5"
"329.5","338.0","348.5","364.0","379.0","380.5"
"84.5","93.5","110.0","124.0","139.0","141.0"
