"158.5","173.0","195.5","228.5","262.5","295.5","323.5","346.0","364.0","373.5","378.0","379.5"
"220.5","219.0","216.5","204.5","195.5","186.0","172.5","165.0","155.0","147.5","142.0","140.5"
"284.5","283.5","284.5","287.5","290.5","292.5","294.5","297.0","298.0","298.5","300.5","303.5","307.0","309.5","311.5"
"92.0","116.0","144.5","183.5","216.5","251.5","290.0","323.5","363.5","398.5","425.5","449.5","463.5","473.0","474.5"
"223.5","229.0","236.0","241.5","243.5"
"271.5","274.5","290.5","305.0","306.5"
"212.5","217.0","229.0","252.0","274.0","275.5"
"403.0","403.0","399.0","379.0","352.0","350.0"
"356.5","354.0","350.0","346.0","344.5"
"284.5","292.0","301.0","317.5","319.0"
"329.0","334.5","346.5","366.0","386.5","400.5","414.0","415.5"
"361.0","363.5","367.5","371.0","372.5","373.5","373.5","374.5"
"366.0","371.0","384.5","405.5","407.0"
"92.5","100.0","111.5","122.5","124.0"
