"97.0","107.5","123.0","151.5","188.0","232.0","280.5","329.5","372.5","404.0","421.5","429.0","429.0","418.0","416.0"
"249.0","249.0","248.0","241.5","224.5","204.5","191.0","173.0","162.0","150.5","145.5","143.5","142.5","142.5","141.5"
"263.0","263.0","263.0","263.0","264.0","264.5","266.5","269.0","270.5","272.0","273.5","274.5","275.5","276.0","276.5","276.5","276.5","277.0"
"90.0","102.0","117.5","143.5","181.0","216.0","258.5","300.5","344.0","392.5","434.0","471.5","501.0","519.0","528.0","530.0","522.0","520.0"
"199.0","201.5","204.0","207.0","209.5","211.0"
"326.5","332.0","342.0","347.5","357.0","358.5"
"177.0","185.5","196.0","211.0","228.5","230.0"
"486.5","479.5","462.0","442.5","420.5","419.0"
"361.5","354.5","346.5","338.5","327.0","325.5"
"276.5","289.5","296.5","306.5","318.5","320.0"
"336.5","345.5","358.0","372.5","392.0","406.0","421.0","434.5","444.5","446.0"
"388.0","396.5","400.5","406.0","418.5","425.5","432.0","441.0","445.5","447.5"
"376.5","388.0","400.0","414.0","416.0"
"87.0","88.5","88.5","90.0","91.5"
