278.0,274.5,271.0,267.0,259.0,248.5,235.0,220.5,205.5,189.0,168.0,144.5,121.5,104.5,94.0
95.0,95.0,100.5,109.0,121.5,135.0,152.5,169.0,187.0,206.0,226.0,248.0,270.5,287.5,294.0
287.5,288.0,290.0,294.0,300.5,310.5,325.5,343.5,366.0,390.5,417.0,445.0,472.5,497.5,499.0
87.0,87.0,92.5,100.0,110.0,123.5,138.5,151.5,164.0,176.0,188.0,200.5,213.5,221.5,223.5
202.5,205.0,209.5,219.5,234.0,253.5,273.0,294.0,313.5,331.5,343.5,353.0,357.5,358.0,359.5
236.5,231.5,231.5,231.0,230.0,227.5,224.5,221.5,218.5,215.5,214.0,213.0,212.5,212.5,212.0
156.5,160.0,170.5,188.0,213.0,240.5,274.0,312.5,350.5,382.0,402.0,414.0,418.5,418.5,417.0
309.5,306.5,306.5,305.5,301.5,296.5,290.0,282.5,275.0,269.0,265.5,264.5,264.5,265.0,266.0
277.5,275.5,274.5,270.5,265.5,256.0,244.5,228.0,211.0,194.0,180.5,173.0,170.0,170.0,175.5,190.0,211.5,237.5,268.0,300.0,329.5,355.5,375.0,387.0,394.0,395.5
293.0,292.5,297.0,302.0,307.5,317.0,328.0,343.5,360.0,375.5,390.5,399.0,403.5,406.0,406.5,406.5,406.0,400.0,389.5,379.0,371.5,364.5,360.0,357.0,357.0,355.5
369.5,370.5,372.5,378.5,385.0,393.5,401.5,409.5,416.0,423.5,431.5,441.5,453.0,455.0
321.0,317.5,316.0,316.0,318.5,326.0,335.5,347.0,360.5,377.0,398.5,418.0,427.5,429.0
