"167.0","178.0","188.0","206.5","239.5","280.0","319.5","353.5","373.5","386.5"
"129.5","124.0","121.5","119.5","119.5","123.5","131.0","136.0","137.5","138.0"
"283.5","283.0","283.5","288.0","292.5","297.0","299.5","299.5","296.5","287.5","286.0"
"128.5","136.5","156.5","197.0","248.0","307.0","365.5","416.5","451.0","471.5","473.5"
"158.5","155.5","155.5","159.0","163.5","165.0","167.5"
"244.0","257.0","287.5","330.0","373.0","408.0","433.0"
"158.5","176.5","198.5","228.5","262.5","299.0","334.5","367.5","396.5","420.0","438.0","448.0","450.0","450.0","445.5","437.5","425.0","400.5","399.0"
"273.0","265.0","256.5","245.5","236.0","227.5","221.0","219.0","222.5","238.0","265.5","306.0","347.5","384.5","412.0","426.5","434.5","434.5","434.0"
"228.0","242.0","259.0","269.0","276.0"
"313.0","319.5","332.0","342.0","353.5"
"223.0","238.5","255.0","267.5","284.5"
"367.0","374.0","385.5","396.5","409.0"
"342.5","351.5","362.0","368.0","370.5","372.5"
"292.0","297.0","307.5","318.5","329.0","330.5"
"324.5","337.5","353.0","368.0","379.5","381.0"
"332.0","337.0","350.0","370.0","395.5","397.0"
