"182.0","186.0","202.5","214.5","235.0","267.5","307.0","347.0","384.5","418.0","445.0","464.5","477.5","479.5"
"165.5","162.5","160.5","159.0","157.5","154.0","150.5","146.0","141.0","138.5","137.0","137.0","137.0","137.5"
"301.0","301.5","301.5","301.5","301.0","299.0","296.0","294.5","294.5","297.0","298.5"
"158.0","172.0","189.5","220.0","253.5","294.5","339.0","388.5","438.5","484.5","486.0"
"218.0","213.0","212.0","211.5","211.0","210.5","210.5","210.5","210.5","212.0","216.5","223.5"
"210.0","204.5","204.5","211.5","231.5","266.0","302.5","336.0","368.5","404.0","444.0","477.0"
"231.5","230.5","234.0","249.0","276.5","303.5","330.0","353.5","370.5","386.0","395.0","403.0","409.5","415.5","421.0","425.5","429.5","432.5","433.0","433.0","432.0","428.0","423.0","418.0","409.0","399.0","382.0","363.0","346.5","330.0","328.5"
"233.0","224.0","219.5","214.0","206.5","200.0","194.5","191.5","190.5","190.5","196.5","207.0","221.5","239.0","263.5","289.5","318.5","347.5","374.5","396.0","416.5","432.5","443.0","450.0","454.5","455.0","452.0","437.5","417.0","394.5","393.0"
"226.0","226.5","234.0","243.0","254.0","256.0"
"283.5","283.5","284.5","289.5","299.0","300.5"
"235.5","241.0","253.0","265.5"
"338.0","340.0","345.0","355.0"
"347.5","351.0","359.5","366.0","367.5"
"287.5","287.5","288.0","292.5","294.0"
"339.5","346.5","362.0","379.0","380.5"
"331.5","333.0","335.5","344.0","345.5"
