"169.5","170.5","183.5","208.0","235.5","264.5","292.0","314.5","336.5","353.0","364.5","373.5"
"202.0","204.0","201.5","196.5","192.0","189.0","187.0","187.0","187.0","187.0","187.0","191.0"
"137.0","139.0","139.0","139.5","141.5","144.5","147.0","150.0","152.5","155.5","158.0","161.5","165.0","170.5"
"264.0","279.5","288.0","298.5","309.5","325.0","341.5","360.0","379.0","396.0","408.5","418.0","424.5","428.0"
"150.5","152.0","159.5","174.5","197.5","221.5","247.0","273.5","299.0","319.0","340.5","361.0","380.5","397.0","411.5","420.5","428.5","435.0","438.5","440.5","440.5","440.0","434.0","427.5","420.5","413.5","405.5","399.5","394.5","387.0","379.0","371.5"
"295.0","292.5","291.5","286.5","278.0","271.0","265.0","260.0","255.5","254.0","254.0","254.0","254.5","257.5","262.5","268.0","276.5","287.0","299.0","312.0","326.5","343.5","359.5","374.0","387.5","396.5","404.5","408.0","408.5","408.5","401.0","388.5"
"283.0","277.5","277.5","277.5","276.5","275.5","274.5","273.0","271.0","269.0","268.0","266.0","265.5","263.5","260.5"
"191.0","197.0","205.5","218.0","233.0","252.5","272.5","292.5","312.0","330.0","343.5","356.0","364.0","372.0","377.0"
"209.5","219.5","229.0","238.5","250.0","251.5"
"311.5","311.5","311.5","311.5","311.5","312.0"
"181.5","193.5","205.0","230.5"
"360.0","357.5","357.0","349.5"
"326.5","340.5","351.0","365.0","381.5"
"304.5","304.0","304.0","304.5","308.0"
"306.5","323.0","340.5","367.0","397.0"
"348.5","345.0","343.5","340.5","337.0"
