epoch,accuracy,loss,val_accuracy,val_loss
0,0.3524904251098633,1.1670235395431519,0.4333333373069763,0.9966098666191101
1,0.50957852602005,0.9864791035652161,0.7666666507720947,0.8361952900886536
2,0.7164750695228577,0.8536209464073181,1.0,0.7154540419578552
3,0.8659003973007202,0.7598632574081421,1.0,0.6107810735702515
4,0.9425287246704102,0.6610903739929199,1.0,0.5182609558105469
5,0.984674334526062,0.5834857821464539,1.0,0.4389544129371643
6,0.977011501789093,0.5220227837562561,1.0,0.37208491563796997
7,0.977011501789093,0.4550620913505554,1.0,0.31133079528808594
8,0.9885057210922241,0.41907310485839844,1.0,0.2604280114173889
9,1.0,0.3540615141391754,1.0,0.22026485204696655
10,1.0,0.3192872107028961,1.0,0.18772754073143005
11,1.0,0.28072869777679443,1.0,0.16157706081867218
12,1.0,0.25421273708343506,1.0,0.14024734497070312
13,0.9961685538291931,0.22437259554862976,1.0,0.12324449419975281
14,0.9961685538291931,0.20676660537719727,1.0,0.10920114070177078
15,1.0,0.19115689396858215,1.0,0.09728838503360748
16,0.9961685538291931,0.174208864569664,1.0,0.08746112138032913
17,1.0,0.15430386364459991,1.0,0.07936215400695801
18,0.9961685538291931,0.14120429754257202,1.0,0.07281836122274399
19,1.0,0.13546019792556763,1.0,0.06742971390485764
20,1.0,0.12645989656448364,1.0,0.0630597248673439
21,1.0,0.1192227378487587,1.0,0.05919918045401573
22,1.0,0.11170147359371185,1.0,0.05585477128624916
23,1.0,0.1001824289560318,1.0,0.05277178809046745
24,1.0,0.09814788401126862,1.0,0.0499056801199913
25,1.0,0.09280572831630707,1.0,0.04702819511294365
26,1.0,0.08724459260702133,1.0,0.04419027268886566
27,1.0,0.08595888316631317,1.0,0.041780080646276474
28,1.0,0.08009707927703857,1.0,0.03970581665635109
29,1.0,0.07669991999864578,1.0,0.0377403125166893
30,1.0,0.07158821076154709,1.0,0.03589123860001564
31,1.0,0.07083875685930252,1.0,0.034197848290205
32,1.0,0.06747682392597198,1.0,0.032658252865076065
33,1.0,0.0627499371767044,1.0,0.03127409890294075
34,1.0,0.0613691620528698,1.0,0.030013760551810265
35,1.0,0.060434870421886444,1.0,0.028867309913039207
36,1.0,0.057908203452825546,1.0,0.027831893414258957
37,1.0,0.05506382882595062,1.0,0.026911132037639618
38,1.0,0.05415797233581543,1.0,0.026040097698569298
39,1.0,0.050648514181375504,1.0,0.025222070515155792
40,1.0,0.04930499196052551,1.0,0.02445230260491371
41,1.0,0.04939012601971626,1.0,0.02370426617562771
42,1.0,0.04686437174677849,1.0,0.02298123389482498
43,1.0,0.04559144005179405,1.0,0.022284237667918205
44,1.0,0.044812921434640884,1.0,0.021607911214232445
45,1.0,0.04316983371973038,1.0,0.02098109945654869
46,1.0,0.04166707769036293,1.0,0.020416073501110077
47,1.0,0.04189733788371086,1.0,0.019862476736307144
48,1.0,0.04087918624281883,1.0,0.019317472353577614
49,1.0,0.038572926074266434,1.0,0.01881095953285694
