epoch,accuracy,loss,val_accuracy,val_loss
0,0.3346303403377533,1.1674662828445435,0.48275861144065857,1.1051743030548096
1,0.46692606806755066,1.0597416162490845,0.517241358757019,1.040732979774475
2,0.5214007496833801,1.0128923654556274,0.48275861144065857,0.9962688088417053
3,0.5252918004989624,0.9761586785316467,0.517241358757019,0.9475343823432922
4,0.5836575627326965,0.942486584186554,0.517241358757019,0.9001979231834412
5,0.6303501725196838,0.901776909828186,0.6206896305084229,0.8415869474411011
6,0.688715934753418,0.8409581780433655,0.6896551847457886,0.7927966713905334
7,0.774319052696228,0.7961596250534058,0.7241379022598267,0.7685427665710449
8,0.7665369510650635,0.7665809392929077,0.6896551847457886,0.7665144205093384
9,0.7392995953559875,0.7517778873443604,0.7241379022598267,0.7569723725318909
10,0.774319052696228,0.7317460179328918,0.7241379022598267,0.7220263481140137
11,0.801556408405304,0.6965330839157104,0.7586206793785095,0.6768804788589478
12,0.7859922051429749,0.6590515375137329,0.7931034564971924,0.6241177320480347
13,0.8093385100364685,0.6245980858802795,0.8620689511299133,0.5667787790298462
14,0.9027237296104431,0.5743598937988281,0.9655172228813171,0.5165817737579346
15,0.9027237296104431,0.5578351020812988,0.9655172228813171,0.47478583455085754
16,0.9416342377662659,0.5200865268707275,0.9655172228813171,0.43886980414390564
17,0.9533073902130127,0.48897725343704224,1.0,0.40820586681365967
18,0.9727626442909241,0.46283575892448425,1.0,0.3789921700954437
19,0.9649805426597595,0.4381570518016815,1.0,0.34587499499320984
20,0.9727626442909241,0.4138127565383911,1.0,0.32092389464378357
21,0.9766536951065063,0.39146265387535095,1.0,0.29949647188186646
22,0.9922178983688354,0.37477514147758484,1.0,0.27911829948425293
23,0.9922178983688354,0.35409167408943176,0.9655172228813171,0.2602119743824005
24,0.9961089491844177,0.3373109996318817,1.0,0.24178755283355713
25,0.9961089491844177,0.3159731328487396,1.0,0.22376488149166107
26,0.9922178983688354,0.28292033076286316,1.0,0.20778357982635498
27,0.9961089491844177,0.2661791145801544,1.0,0.1937386840581894
28,1.0,0.2522924244403839,1.0,0.18057170510292053
29,1.0,0.22769607603549957,1.0,0.16755422949790955
30,1.0,0.2221129834651947,1.0,0.1567440629005432
31,1.0,0.20305652916431427,1.0,0.14860005676746368
32,0.9961089491844177,0.18889427185058594,0.9655172228813171,0.14369212090969086
33,0.9922178983688354,0.1855197548866272,0.9655172228813171,0.13908915221691132
34,0.9961089491844177,0.1736631989479065,0.9655172228813171,0.1341741383075714
35,0.9961089491844177,0.16525007784366608,0.9655172228813171,0.1305338442325592
36,0.9961089491844177,0.15582698583602905,0.9655172228813171,0.12551742792129517
37,0.9961089491844177,0.1535283774137497,0.9655172228813171,0.11728336662054062
38,1.0,0.14129121601581573,0.9655172228813171,0.1095583513379097
39,1.0,0.1328115165233612,1.0,0.10368712246417999
40,1.0,0.12595780193805695,1.0,0.09973103553056717
41,1.0,0.12396737933158875,1.0,0.0966549962759018
42,1.0,0.11987379938364029,0.9655172228813171,0.0938587486743927
43,1.0,0.11669864505529404,0.9655172228813171,0.09158062189817429
44,1.0,0.10443254560232162,0.9655172228813171,0.09035851806402206
45,1.0,0.10577510297298431,0.9655172228813171,0.09006695449352264
46,1.0,0.0988503247499466,0.9655172228813171,0.0887114405632019
47,1.0,0.09315279126167297,0.9655172228813171,0.08670713752508163
48,1.0,0.08843619376420975,0.9655172228813171,0.08458997309207916
49,1.0,0.08848956972360611,0.9655172228813171,0.08239772915840149
